<<<<<<< HEAD
﻿category,subCategory,itemName,fileName,attack,heal,satiety,batteryCharge,sightRange,capacity,deathRate,durability,weight
소모,음식,포테이토,SM_Prop_Food_Fries_01,0,0,10,0,0,0,0,1,3
소모,음식,소세지1,SM_Prop_Food_Sausage_Cooked_01,0,0,10,0,0,0,0,1,5
소모,음식,소세지2,SM_Prop_Food_Sausage_String_01,0,0,30,0,0,0,0,1,15
장비,무기,바벨,SM_Prop_Gym_Bar_Bell_02,10,0,0,0,0,0,0,40,30
장비,무기,덤벨,SM_Prop_Gym_Dumbbell_05,10,0,0,0,0,0,0,40,30
장비,무기,노,SM_Prop_Hunting_Kayak_Paddle_01,4,0,0,0,0,0,0,15,15
장비,무기,뒤집개,SM_Prop_Kitchen_Spatula_01,2,0,0,0,0,0,0,5,3
장비,무기,기타,SM_Prop_Music_Acoustic_Guitar_02,5,0,0,0,0,0,0,15,10
장비,무기,일렉기타,SM_Prop_Music_Electric_Guitar_01,7,0,0,0,0,0,0,20,15
장비,무기,테니스라켓,SM_Prop_Sport_Tennis_Racket_01,6,0,0,0,0,0,0,20,10
장비,무기,나무방망이,SM_Prop_Sport_Bat_01,7,0,0,0,0,0,0,30,10
장비,무기,쇠방망이,SM_Prop_Sport_Bat_02,10,0,0,0,0,0,0,50,15
장비,무기,골프채,SM_Prop_Sport_Golf_Club_02,9,0,0,0,0,0,0,35,20
장비,가방,가방1,SM_Prop_Hunting_Backpack_01,0,0,0,0,0,50,0,0,0
장비,가방,가방2,SM_Prop_Hunting_Backpack_02,0,0,0,0,0,75,0,0,0
장비,침낭,침낭1,SM_Prop_SleepingBag_01,0,10,-30,0,0,0,20,1,15
장비,침낭,침낭2,SM_Prop_SleepingBag_02,0,15,-25,0,0,0,15,1,15
장비,침낭,침낭3,SM_Prop_SleepingBag_03,0,20,-20,0,0,0,10,1,15
=======
﻿category,subCategory,itemName,fileName,attack,heal,satiety,batteryCharge,sightRange,capacity,deathRate,durability,weight
소모,보조배터리,배터리1,SM_Item_Battery_01,0,0,0,20,0,0,0,1,10
소모,보조배터리,배터리2,SM_Item_Battery_02,0,0,0,10,0,0,0,1,5
소모,음식,캔1,SM_Item_Can_01,0,0,5,0,0,0,0,1,5
소모,음식,캔2,SM_Item_Can_02,0,0,6,0,0,0,0,1,5
소모,음식,캔3,SM_Item_Can_03,0,0,7,0,0,0,0,1,5
소모,음식,캔7,SM_Item_Can_07,0,0,8,0,0,0,0,1,5
소모,음식,캔8,SM_Item_Can_08,0,0,8,0,0,0,0,1,5
소모,음식,캔9,SM_Item_Can_09,0,0,10,0,0,0,0,1,5
장비,무기,칼1,SM_Item_Craft_Knife_01,3,0,0,0,0,0,0,10,3
소모,음식,음료1,SM_Item_Drink_01,0,0,7,0,0,0,0,1,5
장비,무기,후라이팬1,SM_Item_Frypan_01,5,0,0,0,0,0,0,30,7
소모,치료제,약1,SM_Item_Pills_01,0,30,0,0,0,0,0,1,3
장비,스마트폰,스마트폰,SM_Item_SmartPhone_01,0,0,0,0,0,0,0,0,0
장비,라이트,라이트2,SM_Prop_Flashlight_02,0,0,0,0,10,0,0,30,3
장비,라이트,라이트3,SM_Prop_Flashlight_03,0,0,0,0,20,0,0,30,5
장비,라이트,라이트5,SM_Prop_Flashlight_05,0,0,0,0,40,0,0,40,7
장비,무기,빠루,SM_Wep_Crowbar_01,7,0,0,0,0,0,0,30,20
장비,무기,망치,SM_Wep_Hammer_01,7,0,0,0,0,0,0,25,20
장비,무기,칼2,SM_Wep_Melee_HuntingKnife_01,5,0,0,0,0,0,0,20,3
소모,음식,사과,SM_Prop_Food_Apple_01,0,0,5,0,0,0,0,1,3
소모,음식,치즈,SM_Prop_Food_Cheese_Stack_02,0,0,10,0,0,0,0,1,7
소모,음식,닭가슴살,SM_Prop_Food_Chicken_Breast_Cooked_02,0,0,7,0,0,0,0,1,5
소모,음식,도넛,SM_Prop_Food_Donut_04,0,0,6,0,0,0,0,1,3
소모,음식,포테이토,SM_Prop_Food_Fries_01,0,0,10,0,0,0,0,1,3
소모,음식,소세지1,SM_Prop_Food_Sausage_Cooked_01,0,0,10,0,0,0,0,1,5
소모,음식,소세지2,SM_Prop_Food_Sausage_String_01,0,0,30,0,0,0,0,1,15
장비,무기,바벨,SM_Prop_Gym_Bar_Bell_02,10,0,0,0,0,0,0,40,30
장비,무기,덤벨,SM_Prop_Gym_Dumbbell_05,10,0,0,0,0,0,0,40,30
장비,무기,노,SM_Prop_Hunting_Kayak_Paddle_01,4,0,0,0,0,0,0,15,15
장비,무기,뒤집개,SM_Prop_Kitchen_Spatula_01,2,0,0,0,0,0,0,5,3
장비,무기,기타,SM_Prop_Music_Acoustic_Guitar_02,5,0,0,0,0,0,0,15,10
장비,무기,일렉기타,SM_Prop_Music_Electric_Guitar_01,7,0,0,0,0,0,0,20,15
장비,무기,테니스라켓,SM_Prop_Sport_Tennis_Racket_01,6,0,0,0,0,0,0,20,10
장비,무기,나무방망이,SM_Prop_Sport_Bat_01,7,0,0,0,0,0,0,30,10
장비,무기,쇠방망이,SM_Prop_Sport_Bat_02,10,0,0,0,0,0,0,50,15
장비,무기,골프채,SM_Prop_Sport_Golf_Club_02,9,0,0,0,0,0,0,35,20
장비,가방,가방1,SM_Prop_Hunting_Backpack_01,0,0,0,0,0,50,0,0,0
장비,가방,가방2,SM_Prop_Hunting_Backpack_02,0,0,0,0,0,75,0,0,0
장비,침낭,침낭1,SM_Prop_SleepingBag_01,0,10,-30,0,0,0,20,1,15
장비,침낭,침낭2,SM_Prop_SleepingBag_02,0,15,-25,0,0,0,15,1,15
장비,침낭,침낭3,SM_Prop_SleepingBag_03,0,20,-20,0,0,0,10,1,15
>>>>>>> ba1e7674 ([BUG] merge error)
장비,침낭,텐트,SM_Prop_Hunting_Tent_Dome_01,0,30,-10,0,0,0,0,3,30
